segment,E,N,U
map,-162.94568449258804,78.65132524399087,-2.629440188407898
map,-162.93181425333023,78.97944261459634,-2.6396440267562866
map,-162.9028530716896,79.31252672104165,-2.650326132774353
map,-162.8593197464943,79.65014268783852,-2.6572831869125366
map,-162.80183988809586,79.9920540037565,-2.656882166862488
map,-162.72838407754898,80.33818437485024,-2.656082510948181
map,-162.6391049027443,80.68783952621743,-2.6569007635116577
map,-162.53629118204117,81.04175187973306,-2.6611703634262085
map,-162.41220670938492,81.39666368393227,-2.669401526451111
map,-162.27031522989273,81.753162402194,-2.673946738243103
map,-162.11206632852554,82.11162187485024,-2.6759456396102905
map,-161.93509489297867,82.47118760971352,-2.676411986351013
map,-161.73930937051773,82.83224870590493,-2.680773615837097
map,-161.5259457230568,83.19411088852212,-2.6878684759140015
map,-161.29829984903336,83.55800249008462,-2.696311831474304
map,-161.05383878946304,83.92162706283852,-2.7056716680526733
map,-160.79784208536148,84.286853808444,-2.712650179862976
map,-160.53355985879898,84.6543617430143,-2.720896601676941
map,-160.25916105508804,85.02473832992837,-2.7316960096359253
map,-159.9731655716896,85.3961067381315,-2.741987109184265
map,-159.67790800333023,85.76939012436196,-2.7507532835006714
map,-159.37375456094742,86.1454506102018,-2.7604907751083374
map,-159.05928617715836,86.52217485336587,-2.7715548276901245
map,-158.73796659708023,86.90317918686196,-2.7833460569381714
map,-158.41306120157242,87.28981401352212,-2.793221354484558
map,-158.08145719766617,87.6796531858854,-2.8034456968307495
map,-157.7433529496193,88.07253648666665,-2.814318060874939
map,-157.40097624063492,88.47001268295571,-2.8202985525131226
map,-157.05574613809586,88.87220384506509,-2.827192187309265
map,-156.70584684610367,89.2775535765104,-2.8358010053634644
map,-156.35057646036148,89.68461992172524,-2.842551112174988
map,-155.9923306107521,90.09508897690102,-2.8483999967575073
map,-155.63167387247086,90.50855638412759,-2.8556569814682007
map,-155.26758390665054,90.92287828354165,-2.859728217124939
map,-154.90096098184586,91.33780290512368,-2.8640793561935425
map,-154.53301054239273,91.75435258774087,-2.866921305656433
map,-154.1640072464943,92.17216112045571,-2.8710349798202515
map,-153.7918148636818,92.58808519272134,-2.876665949821472
map,-153.41914945840836,93.004871386569,-2.876041293144226
map,-153.04695707559586,93.42326738266274,-2.8706597089767456
map,-152.67325407266617,93.84202196029946,-2.867982268333435
map,-152.29863554239273,94.2611961546354,-2.864975333213806
map,-151.92435270547867,94.68181993393227,-2.8643792867660522
